FishStock,Options,Basis,Catch - 2024,Landings - 2024,Discards - 2024,F - 2024,Flandings - 2024,Fdiscards - 2024,SSB - 2025,% SSB change *,% TAC change **,% Change in advice,F - 2023,SSB - 2024,R,Catch - 2023,Landings - 2023,Discards - 2023,SSB - 2023
whg.27.47d,Other options,0.75 x F2023,26127,16857,6791,0.077,0.045,0.025,347983,,0.00034,-76,0.101,347863,15061,34829,21985,10426,
whg.27.47d,Other options,1.25 x F2023,41241,27634,11186,0.124,0.075,0.041,336202,,-3.4,-63,0.101,347863,15061,34829,21985,10426,
her.27.1-24a514a,ICES Advice,Agreed management strategy,390010,,,0.124,,,2913280,-5,-44,-24,0.186,3059464,10.619,692942,,,
lez.27.4a6a,Other options,B2025 = B2024,2300,2187,113,,,,,0,,-68,,,,2349,2233,116,
lez.27.4a6a,Other options,B2025 = Blim,29800,28331,1469,,,,,-82,,314,,,,2349,2233,116,
lez.27.4a6a,Other options,B2025 = Bpa = MSY Btrigger,24850,23625,1225,,,,,-70,,245,,,,2349,2233,116,
whb.27.1-91214,Other options,Catch 2024 = Advice 2023 +25%,1699530,,,0.36,,,7098420,4.4,1.6,25,0.52,6799985,16657741,1672378,,,
whb.27.1-91214,Other options,Catch 2024 = Advice 2023 -20%,1087650,,,0.22,,,7676010,12.9,-35,-20,0.52,6799985,16657741,1672378,,,
mac.27.nea,Other options,Catch 2024 = Catch 2023,1147410,,,0.43,,,3107830,-8,0,47,0.38,3681064,4498424,1147407,,,
whb.27.1-91214,Other options,Catch 2024 = Catch 2023,1672360,,,0.35,,,7123990,4.8,0,23,0.52,6799985,16657741,1672378,,,
mac.27.nea,Other options,Catch 2024 = Catch 2023 +25%,1434260,,,0.57,,,2895830,-12,25,83,0.38,3681064,4498424,1147407,,,
whb.27.1-91214,Other options,Catch 2024 = Catch 2023 +25%,2090420,,,0.46,,,6731010,-1,25,54,0.52,6799985,16657741,1672378,,,
mac.27.nea,Other options,Catch 2024 = Catch 2023 -20%,917926,,,0.33,,,3277840,-4,-20,17,0.38,3681064,4498424,1147407,,,
whb.27.1-91214,Other options,Catch 2024 = Catch 2023 -20%,1337930,,,0.28,,,7439410,9.4,-20,-1.6,0.52,6799985,16657741,1672378,,,
had.27.7a,Other options,EU MAP : FMSY,2263,1807,456,0.28,0.162,0.118,7073,-28,-15,,0.148,9888,351715,1496,1235,261,
had.27.7b-k,Other options,EU MAP : FMSY,8252,6772,1480,0.35,0.3,0.051,30295,9,,-30.7,0.417,27904,224539,12100,10540,1560,
hke.27.3a46-8abd,Other options,EU MAP : FMSY,72839,67637,5202,0.24,0.23,0.0174,129326,-12.1,,-12.4,0.189,147052,862134,64096,60388,3707,
lez.27.4a6a,Other options,EU MAP : FMSY,7900,7510,390,,,,,-17.6,,9.7,,,,2349,2233,116,
meg.27.7b-k8abd,Other options,EU MAP : FMSY,23303,19670,3633,0.23,,,89889,-6.1,,-1.24,0.195,95693,217477,19873,16636,3237,
sol.27.7e,Other options,EU MAP : FMSY,1057,1052,4,,0.29,,3500,-5.5,-24,-24,0.34,3705,4036,1394,1388,6,
sol.27.7fg,Other options,EU MAP : FMSY,1267,1198,69,0.251,0.24,0.016,5659,-3.3,-5.3,-5.3,0.264,5850,5140,1338,1263,75,
cod.27.7a,Other options,EU MAP : FMSY lower,1007,984,23,0.14,0.132,0.0077,9556,-19.1,510,,0.028,11815,21811,288,262,26,
had.27.7a,Other options,EU MAP : FMSY lower,1671,1338,333,0.2,0.116,0.084,7613,-23,-37,,0.148,9888,351715,1496,1235,261,
had.27.7b-k,Other options,EU MAP : FMSY lower,5492,4532,960,0.22,0.189,0.032,33103,19.16,,-53.9,0.417,27904,224539,12100,10540,1560,
lez.27.4a6a,Other options,EU MAP : FMSY lower,6150,5847,303,,,,,-12,,-14.6,,,,2349,2233,116,
sol.27.7e,Other options,EU MAP : FMSY lower,620,618,2,,0.16,,3924,5.9,-56,-56,0.34,3705,4036,1394,1388,6,
sol.27.7fg,Other options,EU MAP : FMSY lower,724,685,39,0.136,0.127,0.009,6226,6.4,-46,-46,0.264,5850,5140,1338,1263,75,
bss.27.4bc7ad-h,Other options,EU MAP : FMSY lower x SSB 2024/MSY Btrigger,2042,,,0.128,,,12304,-5.2,,-19.7,0.105,12978,10875,1749,1140**,100**,
cod.27.7a,Other options,EU MAP : FMSY lower x SSB 2024/MSY Btrigger,918,897,21,0.127,0.12,0.007,9651,-18.3,460,,0.028,11815,21811,288,262,26,
cod.27.7e-k,Other options,EU MAP : FMSY lower x SSB 2024/MSY Btrigger,29,,,0.02,,,2221,203,,,1.09,733,1108,812,,,
whg.27.7b-ce-k,Other options,EU MAP : FMSY lower x SSB 2024/MSY Btrigger,2433,2075,358,0.163,0.135,0.028,31690,20,,42,0.763,26361,387753,9817,8180,1637,
had.27.7a,Other options,EU MAP : FMSY upper,2749,2191,558,0.35,0.2,0.147,6633,-33,3.8,,0.148,9888,351715,1496,1235,261,
