"","FishStock","Year","Basis","var","value"
"1","her.27.irls","1958","Assessment","R","407026"
"2","her.27.irls","1959","Assessment","R","1575120"
"3","her.27.irls","1960","Assessment","R","361935"
"4","her.27.irls","1961","Assessment","R","392846"
"5","her.27.irls","1962","Assessment","R","842972"
"6","her.27.irls","1963","Assessment","R","402358"
"7","her.27.irls","1964","Assessment","R","1380460"
"8","her.27.irls","1965","Assessment","R","415829"
"9","her.27.irls","1966","Assessment","R","734437"
"10","her.27.irls","1967","Assessment","R","767627"
"11","her.27.irls","1968","Assessment","R","898891"
"12","her.27.irls","1969","Assessment","R","461580"
"13","her.27.irls","1970","Assessment","R","248305"
"14","her.27.irls","1971","Assessment","R","821055"
"15","her.27.irls","1972","Assessment","R","279093"
"16","her.27.irls","1973","Assessment","R","325107"
"17","her.27.irls","1974","Assessment","R","160135"
"18","her.27.irls","1975","Assessment","R","201789"
"19","her.27.irls","1976","Assessment","R","225842"
"20","her.27.irls","1977","Assessment","R","184486"
"21","her.27.irls","1978","Assessment","R","145377"
"22","her.27.irls","1979","Assessment","R","278252"
"23","her.27.irls","1980","Assessment","R","166205"
"24","her.27.irls","1981","Assessment","R","464491"
"25","her.27.irls","1982","Assessment","R","723790"
"26","her.27.irls","1983","Assessment","R","784109"
"27","her.27.irls","1984","Assessment","R","665672"
"28","her.27.irls","1985","Assessment","R","641876"
"29","her.27.irls","1986","Assessment","R","653472"
"30","her.27.irls","1987","Assessment","R","1199270"
"31","her.27.irls","1988","Assessment","R","475158"
"32","her.27.irls","1989","Assessment","R","575256"
"33","her.27.irls","1990","Assessment","R","503026"
"34","her.27.irls","1991","Assessment","R","207218"
"35","her.27.irls","1992","Assessment","R","961732"
"36","her.27.irls","1993","Assessment","R","359515"
"37","her.27.irls","1994","Assessment","R","768209"
"38","her.27.irls","1995","Assessment","R","721691"
"39","her.27.irls","1996","Assessment","R","352152"
"40","her.27.irls","1997","Assessment","R","372720"
"41","her.27.irls","1998","Assessment","R","248764"
"42","her.27.irls","1999","Assessment","R","486728"
"43","her.27.irls","2000","Assessment","R","478254"
"44","her.27.irls","2001","Assessment","R","496520"
"45","her.27.irls","2002","Assessment","R","545856"
"46","her.27.irls","2003","Assessment","R","142195"
"47","her.27.irls","2004","Assessment","R","365938"
"48","her.27.irls","2005","Assessment","R","1071370"
"49","her.27.irls","2006","Assessment","R","361671"
"50","her.27.irls","2007","Assessment","R","735977"
"51","her.27.irls","2008","Assessment","R","299693"
"52","her.27.irls","2009","Assessment","R","1027200"
"53","her.27.irls","2010","Assessment","R","762359"
"54","her.27.irls","2011","Assessment","R","967731"
"55","her.27.irls","2012","Assessment","R","638150"
"56","her.27.irls","2013","Assessment","R","368571"
"57","her.27.irls","2014","Assessment","R","305090"
"58","her.27.irls","2015","Assessment","R","177058"
"59","her.27.irls","2016","Assessment","R","202804"
"60","her.27.irls","2017","Assessment","R","62180.1"
"61","her.27.irls","2018","Assessment","R","55466.3"
"62","her.27.irls","2019","Assessment","R","206633"
"63","her.27.irls","2020","Assessment","R","152608"
"64","her.27.irls","2021","Assessment","R","72138.9"
"65","her.27.irls","2022","Assessment","R","297217"
"66","her.27.irls","2023","Assessment","R","171915"
"67","her.27.3a47d","1947","Assessment","R","34843107"
"68","her.27.3a47d","1948","Assessment","R","33204210"
"69","her.27.3a47d","1949","Assessment","R","27923624"
"70","her.27.3a47d","1950","Assessment","R","39551269"
"71","her.27.3a47d","1951","Assessment","R","38374251"
