Year,Species,TAC Area,  Irl. Tonnes  ,  Est. Value of Irl Quota  ,  Est. Value of EU TAC  ,Ireland,Other
2022,ALBACORE TUNA,"Atlantic, north of 5'N","3,317",,,,
2022,ANGLERFISH,7,"2,977",,,,
2022,ANGLERFISH,"5.b, 6, 12, 14",439,,,,
2022,ARGENTINES,"3, 4",5,,,,
2022,ARGENTINES,"5, 6, 7",821,,,,
2022,BLACK SCABBARD,"5, 6, 7, 12",55,,,,
2022,BLUE LING,"2, 4",2,,,,
2022,BLUE LING,"5.b, 6, 7",30,,,,
2022,BLUE WHITING,"5.b, 6, 7, 12, 14","28,438",,,,
2022,BOARFISH,"6, 7, 8","15,749",,,,
2022,COD,"1, 2",290,,,,
2022,COD,"6.a, East 5.b",219,,,,
2022,COD,"6.b, West 5.b, 12, 14",14,,,,
2022,COD,7.a,104,,,,
2022,COD,"7.bc,e-k, 8, 9, 10",338,,,,
2022,GREENLAND HALIBUT,"2.a, 4, 6",29,,,,
2022,HADDOCK,"5.b, 6.a",682,,,,
2022,HADDOCK,"6.b, 12, 14",385,,,,
2022,HADDOCK,"7, 8, 9, 10","2,920",,,,
2022,HADDOCK,7.a,"1,171",,,,
2022,HAKE,"5.b, 6, 7, 12, 14","2,383",,,,
2022,HERRING,"1, 2 (Atlanto-Scandic)","3,098",,,,
2022,HERRING,"5.b, 6.aN, 6.b",470,,,,
2022,HERRING,"6.aS, 7.bc","1,236",,,,
2022,HERRING,7.a,719,,,,
2022,HERRING,7.ghjk,750,,,,
2022,HORSE MACKEREL,"2.a, 4.a, 6, 7.a-c, 7.e-k, 8.abd, 5.b, 12, 14","15,737",,,,
2022,HORSE MACKEREL,"4.bc, 7.d",202,,,,
2022,LING,"6, 7, 8, 9, 10, 12, 14","1,059",,,,
2022,MACKEREL,"6, 7, 8.abde, 5.b, 2.a, 12, 14","54,992",,,,
2022,MEGRIM,7,"2,827",,,,
2022,MEGRIM,"5.b, 6, 12, 14",627,,,,
2022,NEPHROPS,7,"5,682",,,,
2022,NEPHROPS,"5.b, 6",160,,,,
2022,PICKED DOGFISH,"1,5,6,7,8,12,14",47,,,,
2022,PLAICE,"5.b, 6, 12, 14",248,,,,
2022,PLAICE,7.a,"1,031",,,,
2022,PLAICE,7.bc,15,,,,
2022,PLAICE,7.fg,237,,,,
2022,PLAICE,7.hjk,47,,,,
2022,POLLACK,7,572,,,,
2022,POLLACK,"5.b, 6, 12, 14",22,,,,
2022,ROUNDNOSE GRENADIER,"5.b, 6, 7",150,,,,
2022,ROUNDNOSE GRENADIER,"8, 9, 10, 12, 14",2,,,,
2022,SAITHE,"5.b, 6, 12, 14",353,,,,
2022,SAITHE,"7, 8, 9, 10","1,404",,,,
2022,SKATES & RAYS,"6.ab, 7.a-c, 7.e-k","1,177",,,,
2022,SMALL-EYED RAY,7.fg,12,,,,
2022,SOLE,"5.b, 6, 12, 14",46,,,,
2022,SOLE,7.a,105,,,,
2022,SOLE,7.bc,28,,,,
2022,SOLE,7.fg,39,,,,
2022,SOLE,7.hjk,95,,,,
2022,TUSK,"5, 6, 7",238,,,,
2022,UNDULATE RAY,7.de,25,,,,
2022,WHITING,"5.b, 6, 12, 14",561,,,,
2022,WHITING,7.a,274,,,,
2022,WHITING,7.b-k,"3,972",,,,
2022,OTHER,,12,,,,
2022,Grand Total,,"158,639",,,,
