FishStock,Group,Year,Column,Value
ALB-N,Footnotes,2019,* Commission delegated regulations 2018/190 ,
whb.27.1-91214,Footnotes,2019,* Commission delegated regulations 2018/190 & 2016/2377,
BFT-E,Footnotes,2019,* Recommendation by ICCAT Establishing a Multi-Annual Management Plan for Bluefin Tuna in the Eastern Atlantic and the Mediterranean Sea 18-02.,
boc.27.6-8,Footnotes,2019,* Commission delegated regulations 2019/7048 ,
ank.27.78ab,Footnotes,2019,"* For vessels with catches of more than 55% combined hake, anglerfish and megrim, there is a derogation for less selective gear options (NWW Discard Plan).",
mon.27.78ab,Footnotes,2019,"* For vessels with catches of more than 55% combined hake, anglerfish and megrim, there is a derogation for less selective gear options (NWW Discard Plan).",
cod.27.1-2,Footnotes,2019,*Adopted at the 46th meeting of the Joint Russian-Norwegian Fisheries Commission (JRNFC),
cod.27.7a,Footnotes,2019,"* EC (2019) 7048
",
whg.27.6a,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the WWMAP",
whg.27.6b,Footnotes,2019,"* Under the ICES MSY approach, when spawning stock biomass (SSB) is below the biomass limit reference point (B<sub>lim</sub>) and it is not possible under any level of fishing for SSB to recover to B<sub>lim</sub> within the TAC year, the fishing pressure (F) is set to zero.
<p>** The F<sub>MSY</sub> Ranges are not appropriate as this stock is considered as bycatch in the WWMAP",
whg.27.7b-ce-k,Footnotes,2019,"* The <em>de minimis</em> exemption, caught using bottom trawls and seines with mesh &#8805 80mm, pelagic trawls and beam trawls with mesh 80-119 mm and requiring reporting to STECF (NWW Discard Plan).
",
had.27.7b-k,Footnotes,2019,"* Caught using bottom trawls, seines and beam trawls with mesh &#8805 80mm, and requiring reporting (EU 2019; 7048).
",
had.27.7a,Footnotes,2019,"* EC (2019) 7048
",
