FishStock,Year,Management,Additional
ALB-N,2015,"<ul><li> The management area and the assessment area for North Atlantic albacore tuna cover the whole of the Atlantic, north of 5&deg N, and excluding the Mediterranean Sea.</li> <li> A 1998 recommendation that limits fishing capacity to the average of 1993-1995, remains in force. This limits the number of Irish vessels that may fish for tuna to a maximum of 50 vessels.</li> <li> The international TAC in 2014 is 28,000 t, and the EC TAC is 26,535 t. The Irish quota in 2014 is 2,699 t. Ireland is entitled to 11% of the EC quota.</li> <li> Ireland has had almost full quota uptake in the past 4 years. Unused quota in 2015 may be carried over until 2019 only. The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement additional measures if carried over quota leads to a TAC in excess of 28,000 t.</li> <li> The EU is currently developing a management plan for North Atlantic albacore tuna.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
ALB-N,2016,"<ul><li> The stock assessment and management area and the assessment area for North Atlantic albacore tuna cover the whole of the Atlantic, north of 5&deg N, and excluding the Mediterranean Sea.</li> <li> The 2016 TAC was 28,000 t with an associated Irish quota of 2,511 t.</li> <li> A 1998 recommendation that limits fishing capacity to the average of 1993-1995, remains in force. This limits the number of Irish vessels that may fish for tuna to a maximum of 50 vessels.</li> <li> Recommendation 15-04 sets the objective of maintaining the stock in the green area of the Kobe plot with a 60% probability while maximizing long-term yield, and, if B<B<sub>MSY</sub>, to recover it by 2020 at the latest, while maximizing average catch and minimizing inter-annual fluctuations in TAC levels.</li></ul>","<ul><li> Ireland has had almost full quota uptake in recent years. Unused quota in 2015 may be carried over until 2019 only. The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement additional measures if carried over quota leads to a TAC in excess of 28,000 t.</li> <li> The EU is currently developing a management plan for North Atlantic albacore tuna.</li></ul>"
ALB-N,2017,"<ul><li> The stock assessment and management area for North Atlantic albacore tuna cover the whole of the Atlantic, north of 5&deg N line, and excluding the Mediterranean Sea.</li> <li> ICCAT recommendation 98-08: limits fishing capacity to the average of 1993-1995, remains in force. This limits the number of Irish vessels that may fish for tuna to a maximum of 50 vessels.</li> <li> ICCAT recommendation 16-06 sets the objective of maintaining the stock in the green area of the Kobe plot with a 60% probability while maximizing long-term yield from the fishery, and, if SSB<SSB<sub>MSY</sub>, to rebuild SSB to or above SSB<sub>MSY</sub>, with at least a 60% probability, within as short time as possible, while maximizing average catch and minimizing inter-annual fluctuations in TAC levels.</li> <li> ICCAT recommendation 16-06 sets a TAC of 28,000 t for 2017-2018 and 30,000 t for 2019-2020 subject to a decision of the Commission based on the updated advice of the SCRS in 2018. If the Commission adopts a harvest control rule during this period, the TAC shall be re-established according to those rules.</li> <li> Any unused portion or excess of the annual adjusted quota may be added to/shall be deducted from, according to the case, the quota 2 years later (adjustment 2 years later, i.e. in 2018 for catches in 2016). The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement additional measures if carried over quota leads to a TAC in excess of 28,000 t.</li></ul>","<ul><li> The stock was assessed in 2016 by means of applying statistical modelling to the available data up to 2014.</li> <li> Ireland has had almost full quota uptake in recent years.</li> <li> This year, the Albacore species group has performed a management strategies evaluation and proposes 8 candidate Harvest Control Rule to the Commission to choose from as the new way to manage the North Atlantic albacore stock. If one was to be accepted the quota would be increased from 28,000 to 33,600 t. This will be decided by ICCAT during the Marrakech meeting in November.</li></ul>"
ALB-N,2018,"<ul><li>The stock assessment and management area for North Atlantic albacore tuna covers the Atlantic, north of 5 &deg N line, and excluding the Mediterranean Sea.</li> <li>ICCAT recommendation 98-08 limiting fishing capacity to the average of 1993-1995, remains in force. This limits the number of Irish vessels that may fish for tuna to a maximum of 50 vessels.</li> <li>ICCAT recommendation 16-06 sets the objective of maintaining the fishing pressure below F<sub>MSY</sub> and stock biomass state above B<sub>MSY</sub>, while maximizing average catch and minimizing inter-annual fluctuations in TAC levels.</li> <li>Any unused portion or excess of the annual adjusted quota may be added to/shall be deducted from, according to the case, the quota 2 years later (adjustment 2 years later, i.e. in 2018 for catches in 2016). The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement additional measures if carried over quota leads to a TAC in excess of 33,600 t.</li> </ul>","<ul><li>The stock was last assessed in 2016 by means of applying statistical modelling to the available data up to 2014.</li> <li>Ireland has had almost full quota uptake in recent years (2,845 t in 2018). </li> <li>The primary Irish fishery is with pair pelagic trawlers in the Bay of Biscay, there can be some late season catches to the south west of Ireland. Observer data suggest that bycatch of sharks, seabirds, turtles and mammals are near zero. Bluefin tuna, and swordfish to a lesser extent, are potential choke species for the fisheries. The HCR adopted in Rec 17-04 was tested in 2018, with variants accounting for i) the carry over, ii) the effect of setting a lower TAC limit of 15,000 t, iii) the effect of applying the 20% stability clause and iv) the effect of 20% maximum TAC reduction and 25% maximum TAC increase. Results indicate that the HCR adopted in 17-04 and its new variants achieve ICCAT's management objective of maintaining the fishing pressure below F<sub>MSY</sub> and stock biomass state above BMSY, while maximizing average catch and minimizing inter-annual fluctuations in TAC levels. </li> </ul>"
ALB-N,2019,"<ul><li> The stock assessment and management area for North Atlantic albacore tuna covers the Atlantic, north of 5&deg N line, and excluding the Mediterranean Sea. <li> ICCAT recommendation 98-08 limiting fishing capacity to the average of 1993-1995, remains in force. This limits the number of Irish vessels that may fish for tuna to a maximum of 50 vessels.</li> <li> ICCAT recommendation 16-06 sets the objective of maintaining the fishing pressure below F<sub>MSY</sub>and stock biomass state above B<sub>MSY</sub>, while maximizing average catch and minimizing inter-annual fluctuations in TAC levels.</li> <li> Any unused portion or excess of the annual adjusted quota may be added to/shall be deducted from, according to the case, the quota 2 years later (adjustment 2 years later, i.e. in 2018 for catches in 2016). The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement additional measures if carried over quota leads to a TAC in excess of 33,600 t.</li></ul>","<ul><li>The stock was last assessed in 2016 by means of applying statistical modelling to the available data up to 2014.</li> <li> In 2018 Irish vessels had a total catch of 3,102 t and landed mainly into France and Spain.</li> <li> The primary Irish fishery is with pair pelagic trawlers in the Bay of Biscay, there can be some late season catches to the south west of Ireland. </li> <li> Observer data suggest that bycatch of sharks, seabirds, turtles and mammals are near zero. Bluefin tuna, and swordfish to a lesser extent, are potential choke species for the fisheries. </li><li>Further information on this stock can be found in the 2018 Stock Book</li></ul>"
anf.27.3a46,2015,"<ul><li> There are two TACs covering the stock. A TAC for Division IIa (EC waters) & North Sea IV(EC waters) and a TAC for Sub-areas VI, XII, XIV and Division Vb (EC Waters).</li> <li> The TAC for Vb, VI, XII and XIV in 2015 was 5313 t, Ireland's quota for this stock was 531 t. This quota is taken exclusively from Sub-Area VI.</li> <li> Two species occur in these areas, Lophius piscatorius and L. budegassa, although catches are almost exclusively of the former.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
anf.27.3a46,2016,"<ul><li> There are three TAC areas that cover the stock: <ul><li> Union waters of areas 2.a and 4</li> <li> Norwegian waters of area 4</li> <li> Union and international waters of areas 6, 5.b, 12 and 14.</li></ul> Ireland only has a quota for the latter.</li> <li> Two species of Lophius occur in this area although the catches consist nearly exclusively of white anglerfish (Lophius piscatorius). There is no assessment or advice for black anglerfish (L. budegassa).</li> <li> There is no minimum landing size but EC 2406/96 established a minimum marketing size of 500 g gutted weight or 200 g tailed.</li></ul>","<ul><li> Fishing effort has been decreasing and is now about half of what it was in 2003.</li> <li> Anglerfish are partly caught in a targeted fishery: half of the Irish landings come from trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as well as various gadoids.</li> <li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li> <li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a benchmark for all anglerfish stocks in 2017 and 2018.</li></ul>"
anf.27.3a46,2017,"<ul><li> Two species of Lophius occur in this area although the catches consist nearly exclusively of white anglerfish (Lophius piscatorius). There is separate no assessment or advice for black anglerfish (L budegassa). </li> <li> There are three TAC areas that cover the stock: <ul> <li> Union waters of areas 2.a and 4 </li> <li> Norwegian waters of area 4 </li> <li> Union and international waters of areas 6, 5.b, 12, 14.</li></ul> Ireland only has a quota for the latter. </li> <li> There is a special condition on the Sub-area 4 TAC which states that up to 10 % may be fished in 6. </li></ul>","<ul><li> Anglerfish are partly caught in a targeted fishery: half of the Irish landings come from trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as well as various gadoids. </li> <li> FEAS initiated a new survey series in 2016, designed to provide reliable biomass indices for anglerfish. </li> <li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a benchmark for all anglerfish stocks in 2018.</li></ul>"
anf.27.3a46,2018,"<ul><li> Two species of Lophius occur in this area. Black anglerfish (Lophius budegassa) usually make up around 10% of the international landings but in some years this may be as much as 30%. The two species are assessed and managed as a single stock. </li> <li> There are three TAC areas that cover the stock: <ul> <li> Union waters of areas 2.a and 4 </li> <li> Norwegian waters of area 4 </li> <li> Union and international waters of areas 6, 5.b, 12, 14.</li></ul> Ireland only has a quota for 6, 5.b, 12, 14 and uses its full quota. France has the largest quota share but only use around 1/4 this. The UK (Scotland) have full quota uptake and they are responsible for the vast majority of the international landings. </li> <li> There is a special condition on the Sub-area 4 TAC which states that up to 10 % may be fished in 6. There is currently no other flexibility between TAC areas. </li></ul>","<ul><li> Anglerfish are mainly caught in mixed fisheries with various gadoids and megrim near the Stanton Bank; with hake and other gadoids along the continental slope; and with megrim to the south of Rockall. The landings from Rockall have increased in volume and account for 30-40% of the Irish landings of this stock in recent years. </li> <li> This stock was benchmarked in 2018 but no new assessment could be agreed, mainly due to lack of data from the UK. </li> <li> Discard levels in this stock are estimated to be low (3%; 756 t of discards out of a catch of 22,457 t). </li> </ul>"
anf.27.3a46,2019,"<ul><li> Two species of <em>Lophius</em> occur in this area. Black anglerfish (<em>Lophius budegassa</em>) usually make up around 10% of the international landings but in some years this may be as much as 30%. The two species are assessed and managed as a single stock.</li> <li> There are three TAC areas that cover the stock: <ul><li> Union waters of areas 2.a and 4</li> <li> Norwegian waters of area 4</li> <li> Union and international waters of areas 6, 5.b, 12, 14.</li></ul> Ireland only has a quota for 6, 5.b, 12, 14 and generally takes its full quota. France has the largest quota but take less than a third of this. The UK (Scotland) have full quota uptake and they are responsible for the vast majority of the international landings.</li> <li>There is a special condition on the Sub-area 4 TAC which states that up to 10 % may be fished in Sub-area 6. There is currently no other flexibility between TAC areas.</li></ul>","<ul><li> The survey index shows a decrease in SSB of 13% and additionally the precautionary buffer was applied, resulting in a total reduction in catch advice of 30% compared to last year. The precautionary buffer has not previously been applied for this stock.</li> <li> Anglerfish are mainly caught in mixed fisheries with various gadoids and megrim near the Stanton Bank; with hake and other gadoids along the continental slope; and with megrim to the south of Rockall. The landings from Rockall have increased in volume over the last 15 years and now account for 30-40% of the Irish landings of this stock.</li> <li> Discard levels in this stock are estimated to be low (2% in 2018).</li></ul>"
