FishStock,Options,Basis,Catch - 2018,Landings - 2018,Discards - 2018,F - 2018,Flandings - 2018,Fdiscards - 2018,SSB - 2019,% SSB change *,% TAC change **,F - 2017,SSB - 2018,R,Catch - 2017,Landings - 2017,Discards - 2017,SSB - 2017
cod.27.7a,ICES Advice,ICES Advice,1073,695,377,0.309,0.18,0.13,9570,-11,376,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,F = 0,0,0,0,0,0,0,10903,1.7,-100,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,F = F2017,268,173,94,0.071,0.041,0.029,10566,-1.5,18.5,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,Fpa,1466,950,515,0.442,0.26,0.183,9095,-15,551,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,Flim,1924,1248,676,0.614,0.36,0.25,8550,-20,755,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,SSB (2019) = Blim,3995,2597,1398,1.85,1.08,0.77,6000,-44,1679,0.071,11001,5513,389,246,143,10299.23402
cod.27.7a,Other options,SSB (2019) = Bpa= MSY Btrigger,1868,1212,656,0.59,0.35,0.25,8616,-19,730,0.071,11001,5513,389,246,143,10299.23402
cod.27.6a,ICES Advice,ICES Advice,0,0,0,0,0,0,5324,88,NA,0.79,2835,3614,1627,535,1092,2483
cod.27.6a,Other options,F = FMSY,498,166,332,0.17,0.076,0.094,4654,64,NA,0.79,2835,3614,1627,535,1092,2483
cod.27.6a,Other options,Fpa,1464,478,986,0.59,0.27,0.32,3365,18.7,NA,0.79,2835,3614,1627,535,1092,2483
cod.27.6a,Other options,Flim,1866,602,1264,0.82,0.37,0.45,2831,-0.151,NA,0.79,2835,3614,1627,535,1092,2483
cod.27.6a,Other options,F = F2017,1826,590,1236,0.79,0.36,0.43,2886,1.77,NA,0.79,2835,3614,1627,535,1092,2483
cod.27.7e-k,ICES Advice,ICES Advice,3428,3076,352,0.3,0.3,NA,12009,37,8.7,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,F = 0,0,0,0,0,0,NA,15663,79,-100,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,Fpa,5938,5328,610,0.58,0.58,NA,9395,7.3,88,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,Flim,7506,6734,772,0.8,0.8,NA,7800,-10.9,138,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,SSB (2019) = Blim,8004,7181,823,0.88,0.88,NA,7300,-16.6,154,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,SSB (2019) = Bpa= MSY Btrigger,5062,4542,520,0.47,0.47,NA,10300,17.6,61,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,F = F2017,4760,4271,489,0.44,0.44,NA,10615,21,51,0.44,8755,4505,3704,3323,381,7140
cod.27.7e-k,Other options,F = FMSY,3944,3539,405,0.35,0.35,NA,11468,31,25,0.44,8755,4505,3704,3323,381,7140
had.27.7a,ICES Advice,ICES Advice,3444,2796,648,0.27,0.2,0.067,13406,-29,32,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,F = 0,0,0,0,0,0,0,16567,-12.7,-100,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,Fpa,4234,3437,798,0.34,0.26,0.084,12721,-33,62,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,Flim,5604,4546,1058,0.47,0.35,0.116,11551,-39,143,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,SSB (2019) = Blim,18265,14603,3662,2.9,2.2,0.72,2300,-88,598,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,SSB (2019) = Bpa,17146,13751,3395,2.5,1.88,0.62,2944,-84,556,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,SSB (2019) = MSY Btrigger,17146,13751,3395,2.5,1.88,0.62,2944,-84,556,0.26,18974,337738,2270,1791,380,19897
had.27.7a,Other options,F = F2017,3329,2702,626,0.26,0.2,0.064,13506,-29,27,0.26,18974,337738,2270,1791,380,19897
her.27.irls,ICES Advice,ICES Advice,5445,NA,NA,0.182,0.182,NA,47611,13,-62,0.56,42832,496445,15817,NA,NA,37795
her.27.irls,Other options,F = FMSY,7547,NA,NA,0.26,0.26,NA,46204,10,-48,0.56,41643,496445,15817,NA,NA,37795
her.27.irls,Other options,F = 0,0,NA,NA,0,0,NA,57778,21,-100,0.56,45789,496445,15817,NA,NA,37795
her.27.irls,Other options,Fpa,10299,NA,NA,0.37,0.37,NA,44371,6,-29,0.56,40040,496445,15817,NA,NA,37795
her.27.irls,Other options,Flim,15545,NA,NA,0.61,0.61,NA,40906,-3,7,0.56,36824,496445,15817,NA,NA,37795
her.27.irls,Other options,SSB (2019) = Blim,21367,NA,NA,0.94,0.94,NA,37116,-13,48,0.56,33000,496445,15817,NA,NA,37795
her.27.irls,Other options,F = F2017,14576,NA,NA,0.56,0.56,NA,41542,-1,1,0.56,37436,496445,15817,NA,NA,37795
her.27.irls,Other options,Fmgt (0.23),10127,NA,NA,0.36,0.36,NA,44485,6,-30,0.56,40142,496445,15817,NA,NA,37795
hke.27.3a46-8abd,ICES Advice,ICES Advice,115335,104060,11275,0.28,0.233,0.047,295193,10,-7,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,F = 0,0,0,0,0,0,0,401929,50,-100,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,Fpa,211827,190172,21655,0.62,0.515,0.105,206120,-23,71,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,Flim,261716,234150,27566,0.87,0.723,0.147,160047,-40,111,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,SSB (2019) = Blim,383469,337722,45746,2.293,1.904,0.389,44975,-83,210,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,SSB (2019) = Bpa,395825,347392,48433,2.731,2.268,0.463,32001,-88,220,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,SSB (2019) = MSY Btrigger,395825,347392,48433,2.731,2.268,0.463,32001,-88,220,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,F = F2017,108119,97580,10540,0.259,0.215,0.044,301860,13,-13,0.26,267673,335071,105223,93588,11635,265666
hke.27.3a46-8abd,Other options,EU Recovery Plan,104736,94539,10196,0.25,0.208,0.042,304987,14,-15,0.26,267673,335071,105223,93588,11635,265666
mac.27.nea,ICES Advice,ICES Advice,550948,NA,NA,0.21,0.21,NA,3162312,1.2,-0.53,0.405,3123519,4255854,1178850,NA,NA,3443926
mac.27.nea,Other options,F = 0,0,NA,NA,0,0,NA,3698314,15,-1,0.405,3213067,4255854,1178850,NA,NA,3443926
