"","FishStock","Year","Basis","var","value"
"1","her.27.irls","1958","Assessment","R",444688
"2","her.27.irls","1959","Assessment","R",1659130
"3","her.27.irls","1960","Assessment","R",386998
"4","her.27.irls","1961","Assessment","R",417831
"5","her.27.irls","1962","Assessment","R",887316
"6","her.27.irls","1963","Assessment","R",422436
"7","her.27.irls","1964","Assessment","R",1428660
"8","her.27.irls","1965","Assessment","R",431089
"9","her.27.irls","1966","Assessment","R",754255
"10","her.27.irls","1967","Assessment","R",786034
"11","her.27.irls","1968","Assessment","R",917327
"12","her.27.irls","1969","Assessment","R",470963
"13","her.27.irls","1970","Assessment","R",255151
"14","her.27.irls","1971","Assessment","R",829723
"15","her.27.irls","1972","Assessment","R",285712
"16","her.27.irls","1973","Assessment","R",332104
"17","her.27.irls","1974","Assessment","R",164140
"18","her.27.irls","1975","Assessment","R",206393
"19","her.27.irls","1976","Assessment","R",231424
"20","her.27.irls","1977","Assessment","R",189220
"21","her.27.irls","1978","Assessment","R",148806
"22","her.27.irls","1979","Assessment","R",283391
"23","her.27.irls","1980","Assessment","R",170614
"24","her.27.irls","1981","Assessment","R",474657
"25","her.27.irls","1982","Assessment","R",740675
"26","her.27.irls","1983","Assessment","R",802364
"27","her.27.irls","1984","Assessment","R",683048
"28","her.27.irls","1985","Assessment","R",659369
"29","her.27.irls","1986","Assessment","R",672361
"30","her.27.irls","1987","Assessment","R",1231990
"31","her.27.irls","1988","Assessment","R",488000
"32","her.27.irls","1989","Assessment","R",590800
"33","her.27.irls","1990","Assessment","R",515953
"34","her.27.irls","1991","Assessment","R",213179
"35","her.27.irls","1992","Assessment","R",985081
"36","her.27.irls","1993","Assessment","R",368564
"37","her.27.irls","1994","Assessment","R",786168
"38","her.27.irls","1995","Assessment","R",738739
"39","her.27.irls","1996","Assessment","R",360980
"40","her.27.irls","1997","Assessment","R",383439
"41","her.27.irls","1998","Assessment","R",257411
"42","her.27.irls","1999","Assessment","R",512151
"43","her.27.irls","2000","Assessment","R",512489
"44","her.27.irls","2001","Assessment","R",539529
"45","her.27.irls","2002","Assessment","R",594106
"46","her.27.irls","2003","Assessment","R",160420
"47","her.27.irls","2004","Assessment","R",418095
"48","her.27.irls","2005","Assessment","R",1257320
"49","her.27.irls","2006","Assessment","R",424982
"50","her.27.irls","2007","Assessment","R",871441
"51","her.27.irls","2008","Assessment","R",351292
"52","her.27.irls","2009","Assessment","R",1206530
"53","her.27.irls","2010","Assessment","R",890411
"54","her.27.irls","2011","Assessment","R",1146660
"55","her.27.irls","2012","Assessment","R",776809
"56","her.27.irls","2013","Assessment","R",464189
"57","her.27.irls","2014","Assessment","R",414165
"58","her.27.irls","2015","Assessment","R",221985
"59","her.27.irls","2016","Assessment","R",273292
"60","her.27.irls","2017","Assessment","R",380546
"61","her.27.irls","2018","Assessment","R",437926.0152
"62","hke.27.3a46-8abd","1978","Assessment","R",298362
"63","hke.27.3a46-8abd","1979","Assessment","R",274926
"64","hke.27.3a46-8abd","1980","Assessment","R",303736
"65","hke.27.3a46-8abd","1981","Assessment","R",579898
