FishStock,Year,Management,Additional
ALB-N,2015,"<li> The management area and the assessment area for North
Atlantic albacore tuna cover the whole of the Atlantic,
north of 5&deg N, and excluding the Mediterranean Sea.</li>
<li> A 1998 recommendation that limits fishing capacity to the
average of 1993-1995, remains in force. This limits the
number of Irish vessels that may fish for tuna to a
maximum of 50 vessels.</li>
<li> The international TAC in 2014 is 28,000 t, and the EC
TAC is 26,535 t. The Irish quota in 2014 is 2,699 t. Ireland
is entitled to 11% of the EC quota.</li>
<li> Ireland has had almost full quota uptake in the past 4 years.
Unused quota in 2015 may be carried over until 2019 only.
The maximum allowed carryover is 25% of the initial quota in
those years. ICCAT undertakes to implement additional
measures if carried over quota leads to a TAC in excess of
28,000 t.</li>
<li> The EU is currently developing a management plan for North
Atlantic albacore tuna.</li>",There is no additional information for this stock
ALB-N,2016,"<li> The stock assessment and management area and the assessment area
for North Atlantic albacore tuna cover the whole of the Atlantic, north
of 5&deg N, and excluding the Mediterranean Sea.</li>
<li> The 2016 TAC was 28,000 t with an associated Irish quota of 2,511 t.</li>
<li> A 1998 recommendation that limits fishing capacity to the average of
1993-1995, remains in force. This limits the number of Irish vessels that
may fish for tuna to a maximum of 50 vessels.</li>
<li> Recommendation 15-04 sets the objective of maintaining the stock in
the green area of the Kobe plot with a 60% probability while maximizing
long-term yield, and, if B<B<sub>MSY</sub>, to recover it by 2020 at the latest, while
maximizing average catch and minimizing inter-annual fluctuations in TAC
levels.</li>","<li> Ireland has had almost full quota uptake in recent years. Unused quota in 2015 may be carried over until 2019
only. The maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to
implement additional measures if carried over quota leads to a TAC in excess of 28,000 t.</li>
<li> The EU is currently developing a management plan for North Atlantic albacore tuna.</li>"
ALB-N,2017,"<li> The stock assessment and management area for North Atlantic
albacore tuna cover the whole of the Atlantic, north of 5&deg N line, and
excluding the Mediterranean Sea.</li>
<li> ICCAT recommendation 98-08: limits fishing capacity to the average
of 1993-1995, remains in force. This limits the number of Irish
vessels that may fish for tuna to a maximum of 50 vessels.</li>
<li> ICCAT recommendation 16-06 sets the objective of maintaining the
stock in the green area of the Kobe plot with a 60% probability
while maximizing long-term yield from the fishery, and, if SSB<SSB<sub>MSY</sub>,
to rebuild SSB to or above SSB<sub>MSY</sub>, with at least a 60% probability,
within as short time as possible, while maximizing average catch and
minimizing inter-annual fluctuations in TAC levels.</li>
<li> ICCAT recommendation 16-06 sets a TAC of 28,000 t for 2017-2018 and 30,000 t for 2019-2020 subject to a
decision of the Commission based on the updated advice of the SCRS in 2018. If the Commission adopts a
harvest control rule during this period, the TAC shall be re-established according to those rules.</li>
<li> Any unused portion or excess of the annual adjusted quota may be added to/shall be deducted from,
according to the case, the quota 2 years later (adjustment 2 years later, i.e. in 2018 for catches in 2016). The
maximum allowed carryover is 25% of the initial quota in those years. ICCAT undertakes to implement
additional measures if carried over quota leads to a TAC in excess of 28,000 t.</li>","<li> The stock was assessed in 2016 by means of applying statistical modelling to the available data up to 2014.</li>
<li> Ireland has had almost full quota uptake in recent years.</li>
<li> This year, the Albacore species group has performed a management strategies evaluation and proposes
8 candidate Harvest Control Rule to the Commission to choose from as the new way to manage the North
Atlantic albacore stock. If one was to be accepted the quota would be increased from 28,000 to 33,600 t. This
will be decided by ICCAT during the Marrakech meeting in November.</li>"
anf.27.3a46,2015,"<li> There are two TACs covering the stock. A TAC for Division
IIa (EC waters) & North Sea IV(EC waters) and a TAC for
Sub-areas VI, XII, XIV and Division Vb (EC Waters).</li>
<li> The TAC for Vb, VI, XII and XIV in 2015 was 5313 t,
Ireland's quota for this stock was 531 t. This quota is taken
exclusively from Sub-Area VI.</li>
<li> Two species occur in these areas, Lophius piscatorius and L.
budegassa, although catches are almost exclusively of the
former.</li>",There is no additional information for this stock
anf.27.3a46,2016,"<li> There are three TAC areas that cover the stock:
<ul><li> Union waters of areas 2.a and 4</li>
<li> Norwegian waters of area 4</li>
<li> Union and international waters of areas 6, 5.b, 12 and 14.</li></ul>
Ireland only has a quota for the latter.</li>
<li> Two species of Lophius occur in this area although the catches
consist nearly exclusively of white anglerfish (Lophius piscatorius).
There is no assessment or advice for black anglerfish (L. budegassa).</li>
<li> There is no minimum landing size but EC 2406/96 established a
minimum marketing size of 500 g gutted weight or 200 g tailed.</li>","<li> Fishing effort has been decreasing and is now about half of what it was in 2003.</li>
<li> Anglerfish are partly caught in a targeted fishery: half of the Irish landings come from trips where anglerfish was
the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as
well as various gadoids.</li>
<li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li>
<li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a
benchmark for all anglerfish stocks in 2017 and 2018.</li>"
anf.27.3a46,2017,"<li> Two species of Lophius occur in this area although the catches consist
nearly exclusively of white anglerfish (Lophius piscatorius). There
is separate no assessment or advice for black anglerfish
(L budegassa).  </li>
<li> There are three TAC areas that cover the stock:
<ul> <li> Union waters of areas 2.a and 4 </li>
<li> Norwegian waters of area 4 </li>
<li> Union and international waters of areas 6, 5.b, 12, 14.</li></ul>
Ireland only has a quota for the latter.  </li>
<li> There is a special condition on the Sub-area 4 TAC which
states that up to 10 % may be fished in 6. </li>","<li> Anglerfish are partly caught in a targeted fishery: half of the Irish landings come from trips where anglerfish was
the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim as
well as various gadoids. </li>
<li> FEAS initiated a new survey series in 2016, designed to provide reliable biomass indices for anglerfish. </li>
<li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a
benchmark for all anglerfish stocks in 2018.</li>"
ank.27.78ab,2015,"<li> There are two separate TACs set for anglerfish in this area;
one for Sub-area VII and a second for TAC for Divisions
VIIIabde. The TAC area does not correspond to the
assessment area (Divisions VIIb-k and VIIIa,b). An additional
allocation needs to be made for Division VIIa.</li>
<li> Two species; white bellied (L piscatorious) and black bellied
(L. budegassa) are caught in this assessment area. These
species are not routinely separated by the industry.
Therefore a combined TAC is set for both species.</li>
<li> The 2015 TAC for Sub-area VII was 33,516 t with an
associated Irish quota of 2,540 t. Ireland has no quota in TAC area Divisions VIIIabde.</li>
<li> Most countries had a high level of quota uptake in 2014, except France.</li>
<li> There are no explicit management objectives or plans for this stock.</li>
<li> There is no minimum legal landing size for anglerfish. However, EC Reg. No 2406/96 dealing with common
marketing standards fixes a minimum weight of 500 g for anglerfish.</li>
<li> There is a ban on fishing gillnets in Divisions VIa,b and VIIb,c,j,k in more than 200m depth (EC Reg. No
51/2006).</li>",There is no additional information for this stock
ank.27.78ab,2016,"<li> The TAC applies to both species of anglerfish (black and white
anglerfish) because these species are often not separated by the
industry. This prevents effective control of fishing mortality of the
individual species. </li>
<li> There are two TAC areas that cover this stock: area 7 and
area 8abde. Ireland only has a quota for area 7. There is a special
condition allowing 10% of the area 7 quota to be fished in 8abde
but Ireland generally does not make use of this option.</li>
<li> There is no minimum landing size but EC 2406/96 established a minimum marketing size of 500 g gutted
weight or 200 g tailed.</li>
<li> More than half of the international landings from area 7 are taken in Irish waters but the Irish TAC share is
only 8%.</li>","<li> Fishing effort has shown a steady decrease since the 1990s.</li>
<li> Black and white anglerfish are partly caught in a targeted fishery: almost half of the Irish landings come from
trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are
mainly landed with megrim as well as various gadoids.</li>
<li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li>
<li> FEAS are also developing new assessment methods to improve the advice for anglerfish in advance of a
benchmark for all anglerfish stocks in 2017 and 2018.</li>"
ank.27.78ab,2017,"<li> The TAC applies to both species of anglerfish (black and white
anglerfish) because these species are often not separated by the
industry. This prevents effective control of fishing mortality of the
individual species. </li>
<li> There are two TAC areas that cover this stock: area 7 and area 8abde.
Ireland only has a quota for area 7. There is a special condition allowing
10% of the area 7 quota to be fished in 8abde but Ireland generally does
not make use of this option.</li>
<li> More than half of the international landings from area 7 are taken in Irish
waters but the Irish TAC share is only 8%.</li>
<li> France, who has most of the quota, only lands around 75% of its allocated quota; most other countries are
depending on quota swaps to land their catches (see Figure 1 on the next page).</li>","<li> Fishing effort has shown a steady decrease since the 1990s.</li>
<li> Black and white anglerfish are partly caught in a targeted fishery: almost half of the Irish landings come from
trips where anglerfish was the dominant species. The remainder are taken in a more mixed fishery and are
mainly landed with megrim as well as various gadoids.</li>
<li> FEAS initiated a new survey series in 2016, designed to provide a reliable biomass index for anglerfish.</li>
<li> All ICES anglerfish stocks will be benchmarked in 2018 with the aim of developing assessments that can
provide an improved basis for the catch advice for these stocks.</li>"
BFT-E,2015,"<li> The TAC for 2015 is 15,821 t. The EC has a large share of this TAC (9,372 t) but Ireland has no quota. An
EC by-catch quota of 32.97 t that is otherwise unallocated is available to Ireland. By-catches by Ireland and
other countries not having a quota must not exceed this level.</li>
<li> The TAC covers the entire North Atlantic Ocean east of 45oW and the also the Mediterranean Sea.</li>
<li> In 2006, the Commission adopted a recovery plan for this stock. This plan includes various conservation
measures, including a TAC together with extended time/area closures and minimum size. Management
measures to reduce fishing mortality were introduced in 2008. These measures included lower TACs,
increased control and enforcement measures, particularly within the Mediterranean Sea, and a
requirement for all purse seine vessels targeting bluefin tuna for farming in cages to carry observers on
board.</li>
<li> EU member states' recreational catches must be deducted from available quotas. Bluefin tuna is the only
marine species subject to this provision.</li>",There is no additional information for this stock
