"lon","lat","year","country","rectangle","species","landings"
-2.5,44.75,2016,"BEL","18E7","ANF",6.033
-2.5,44.75,2016,"BEL","18E7","BIB",0.1
-2.5,44.75,2016,"BEL","18E7","BLL",0.022
-2.5,44.75,2016,"BEL","18E7","COD",0.003
-2.5,44.75,2016,"BEL","18E7","COE",0.021
-2.5,44.75,2016,"BEL","18E7","CRE",0.442
-2.5,44.75,2016,"BEL","18E7","CTC",0.042
-2.5,44.75,2016,"BEL","18E7","GUG",0.261
-2.5,44.75,2016,"BEL","18E7","GUR",0.004
-2.5,44.75,2016,"BEL","18E7","GUU",0.58
-2.5,44.75,2016,"BEL","18E7","HKE",0.303
-2.5,44.75,2016,"BEL","18E7","JOD",0.012
-2.5,44.75,2016,"BEL","18E7","LEZ",0.383
-2.5,44.75,2016,"BEL","18E7","LIN",0.004
-2.5,44.75,2016,"BEL","18E7","MUR",0.011
-2.5,44.75,2016,"BEL","18E7","OCZ",0.723
-2.5,44.75,2016,"BEL","18E7","PLE",0.01
-2.5,44.75,2016,"BEL","18E7","RJC",0.027
-2.5,44.75,2016,"BEL","18E7","RJH",0.002
-2.5,44.75,2016,"BEL","18E7","RJN",0.085
-2.5,44.75,2016,"BEL","18E7","SCE",0.02
-2.5,44.75,2016,"BEL","18E7","SOL",4.318
-2.5,44.75,2016,"BEL","18E7","SOS",0.003
-2.5,44.75,2016,"BEL","18E7","SYC",0.641
-2.5,44.75,2016,"BEL","18E7","TUR",0.028
-2.5,44.75,2016,"BEL","18E7","WEG",0.005
-2.5,44.75,2016,"BEL","18E7","WHG",0.007
-2.5,44.75,2016,"BEL","18E7","DPX",0.001
-1.5,44.75,2016,"BEL","18E8","ANF",27.403
-1.5,44.75,2016,"BEL","18E8","BIB",0.705
-1.5,44.75,2016,"BEL","18E8","BLL",0.041
-1.5,44.75,2016,"BEL","18E8","BRB",0.008
-1.5,44.75,2016,"BEL","18E8","COE",0.157
-1.5,44.75,2016,"BEL","18E8","CRE",1.474
-1.5,44.75,2016,"BEL","18E8","CTC",0.071
-1.5,44.75,2016,"BEL","18E8","GUG",2.166
-1.5,44.75,2016,"BEL","18E8","GUR",0.01
-1.5,44.75,2016,"BEL","18E8","GUU",2.513
-1.5,44.75,2016,"BEL","18E8","HKE",0.619
-1.5,44.75,2016,"BEL","18E8","JOD",0.035
-1.5,44.75,2016,"BEL","18E8","LEM",0.001
-1.5,44.75,2016,"BEL","18E8","LEZ",1.44
-1.5,44.75,2016,"BEL","18E8","LIN",0.005
-1.5,44.75,2016,"BEL","18E8","MUR",0.449
-1.5,44.75,2016,"BEL","18E8","OCZ",3.925
-1.5,44.75,2016,"BEL","18E8","PLE",0.01
-1.5,44.75,2016,"BEL","18E8","POL",0.001
-1.5,44.75,2016,"BEL","18E8","RJC",0.237
-1.5,44.75,2016,"BEL","18E8","RJN",0.224
-1.5,44.75,2016,"BEL","18E8","SCE",0.134
-1.5,44.75,2016,"BEL","18E8","SOL",26.21
-1.5,44.75,2016,"BEL","18E8","SQC",0.003
-1.5,44.75,2016,"BEL","18E8","SYC",3.853
-1.5,44.75,2016,"BEL","18E8","TUR",0.102
-1.5,44.75,2016,"BEL","18E8","WEG",0.333
-1.5,44.75,2016,"BEL","18E8","WHG",0.041
-1.5,44.75,2016,"BEL","18E8","DPX",0.01
-2.5,45.25,2016,"BEL","19E7","ANF",55.689
-2.5,45.25,2016,"BEL","19E7","BIB",1.513
-2.5,45.25,2016,"BEL","19E7","BLL",0.376
-2.5,45.25,2016,"BEL","19E7","BRB",0.022
-2.5,45.25,2016,"BEL","19E7","COD",0.005
-2.5,45.25,2016,"BEL","19E7","COE",0.504
-2.5,45.25,2016,"BEL","19E7","CRE",2.355
