stock,year,foCatEu6,landWt1,met.short,gear,scale,landWt
12,2013,OTB_DEF_100-119_1_120_all,473.75,OTB_DEF_100-119,Bottom otter trawls,2.110817942,1000
12,2014,OTB_DEF_100-119_1_120_all,18498.5,OTB_DEF_100-119,Bottom otter trawls,0.918993432,17000
12,2015,OTB_DEF_100-119_1_120_all,30145,OTB_DEF_100-119,Bottom otter trawls,1.094708907,33000
12,2016,OTB_DEF_100-119_1_120_all,59565,OTB_DEF_100-119,Bottom otter trawls,0.989166667,58919.71252
13,2014,MIS_MIS_0_0_0_HC,170,MIS_MIS_0_0_0_all,Others,0.623529412,106
13,2015,OTB_DEF_100-119_1_120_all,64,OTB_DEF_100-119,Bottom otter trawls,1.046875,67
13,2016,MIS_MIS_0_0_0_HC,859,MIS_MIS_0_0_0_all,Others,0.965,828.935
13,2016,OTB_DEF_100-119_1_120_all,2864,OTB_DEF_100-119,Bottom otter trawls,0.965,2763.76
14,2013,OTB_CRU_70-99_1_0_all,29943,OTB_CRU_70-99,Bottom otter trawls,1.032008799,30901.43947
14,2013,OTB_CRU_70-99_2_0_all,5516,OTB_CRU_70-99,Bottom otter trawls,1.032008799,5692.560535
14,2014,OTB_CRU_70-99_1_0_all,28507,OTB_CRU_70-99,Bottom otter trawls,1.081593994,30833
14,2015,OTB_CRU_70-99_1_0_all,83714,OTB_CRU_70-99,Bottom otter trawls,1.052571852,88115
14,2016,OTB_CRU_70-99_1_0_all,20405,OTB_CRU_70-99,Bottom otter trawls,1.016666667,20745.08334
14,2016,OTB_DEF_100-119_1_0_all,820,OTB_DEF_100-119,Bottom otter trawls,1.016666667,833.6666669
15,2013,MIS_MIS_0_0_0_HC,11466.5,MIS_MIS_0_0_0_all,Others,1.144977198,13128.88104
15,2013,OTB_CRU_70-99_0_0_all,50880,OTB_CRU_70-99,Bottom otter trawls,1.144977198,58256.43983
15,2013,OTB_CRU_70-99_1_0_all,1645732.5,OTB_CRU_70-99,Bottom otter trawls,1.144977198,1884326.186
15,2013,OTB_CRU_70-99_1_110_all,1365,OTB_CRU_70-99,Bottom otter trawls,1.144977198,1562.893875
15,2013,OTB_CRU_70-99_2_0_all,404292,OTB_CRU_70-99,Bottom otter trawls,1.144977198,462905.1213
15,2013,OTB_DEF_100-119_0_0_all,12111.5,OTB_DEF_100-119,Bottom otter trawls,1.144977198,13867.39133
15,2013,OTB_DEF_100-119_1_0_all,21637,OTB_DEF_100-119,Bottom otter trawls,1.144977198,24773.87163
15,2013,OTB_DEF_100-119_2_0_all,4616,OTB_DEF_100-119,Bottom otter trawls,1.144977198,5285.214745
15,2014,OTB_CRU_70-99_0_0_all,5372,OTB_CRU_70-99,Bottom otter trawls,1.218169372,6544.005867
15,2014,OTB_CRU_70-99_1_0_all,2375364.25,OTB_CRU_70-99,Bottom otter trawls,1.218169372,2893595.977
15,2014,OTB_CRU_70-99_2_0_all,14562,OTB_CRU_70-99,Bottom otter trawls,1.218169372,17738.9824
15,2014,OTB_DEF_100-119_0_0_all,3260,OTB_DEF_100-119,Bottom otter trawls,1.218169372,3971.232153
15,2014,OTB_DEF_100-119_1_0_all,12934,OTB_DEF_100-119,Bottom otter trawls,1.218169372,15755.80266
15,2015,MIS_MIS_0_0_0_HC,3738,MIS_MIS_0_0_0_all,Others,1.080049359,4037.224503
15,2015,OTB_CRU_70-99_0_0_all,35389,OTB_CRU_70-99,Bottom otter trawls,1.080049359,38221.86676
15,2015,OTB_CRU_70-99_1_0_all,1990918.45,OTB_CRU_70-99,Bottom otter trawls,1.080049359,2150290.195
15,2015,OTB_DEF_100-119_0_0_all,244,OTB_DEF_100-119,Bottom otter trawls,1.080049359,263.5320435
15,2015,OTB_DEF_100-119_1_0_all,5013,OTB_DEF_100-119,Bottom otter trawls,1.080049359,5414.287435
15,2015,SSC_DEF_100-119_0_0_all,286,SSC_DEF_100-119_0_0_all,Seines,1.080049359,308.8941166
15,2016,DRB_MOL_0_0_0_all,4099,MIS_MIS_0_0_0_all,Others,1.045614035,4285.971929
15,2016,FPO_CRU_0_0_0_all,1548,FPO_CRU_0_0_0_all,Others,1.045614035,1618.610526
15,2016,MIS_MIS_0_0_0_HC,9078,MIS_MIS_0_0_0_all,Others,1.045614035,9492.08421
15,2016,OTB_CRU_70-99_0_0_all,19659.5,OTB_CRU_70-99,Bottom otter trawls,1.045614035,20556.24912
15,2016,OTB_CRU_70-99_1_0_all,1498844.25,OTB_CRU_70-99,Bottom otter trawls,1.045614035,1567212.584
15,2016,OTB_DEF_100-119_0_0_all,1471,OTB_DEF_100-119,Bottom otter trawls,1.045614035,1538.098245
15,2016,OTB_DEF_100-119_1_0_all,3063,OTB_DEF_100-119,Bottom otter trawls,1.045614035,3202.715789
15,2016,SSC_DEF_100-119_0_0_all,924,SSC_DEF_100-119_0_0_all,Seines,1.045614035,966.1473683
16,2013,MIS_MIS_0_0_0_HC,8458,MIS_MIS_0_0_0_all,Others,1.336465772,11303.8275
16,2013,OTB_CRU_100-119_0_0_all,23739,OTB_CRU_100-119,Bottom otter trawls,1.336465772,31726.36096
16,2013,OTB_CRU_70-99_0_0_all,579764.5,OTB_CRU_70-99,Bottom otter trawls,1.336465772,774835.4101
16,2013,OTB_DEF_100-119_0_0_all,4588,OTB_DEF_100-119,Bottom otter trawls,1.336465772,6131.704962
16,2013,OTB_DEF_70-99_0_0_all,35658,OTB_DEF_70-99,Bottom otter trawls,1.336465772,47655.6965
16,2014,MIS_MIS_0_0_0_HC,6535,MIS_MIS_0_0_0_all,Others,1.172607022,7662.986888
16,2014,OTB_CRU_100-119_0_0_all,59125,OTB_CRU_100-119,Bottom otter trawls,1.172607022,69330.39017
16,2014,OTB_CRU_70-99_0_0_all,727189.5,OTB_CRU_70-99,Bottom otter trawls,1.172607022,852707.5139
