"","Year","IcesDivision","species","LiveWtTonnes","LiveWtTonnesInclU10","MeanPricePerKgLiveWt","YearFact"
"1",2011,"VIIg","Hake",761.081064000001,761.081063999998,1.90029287759654,"2011"
"2",2008,"VIIa","Nephrops",3213.18686,3213.18686,3.16935168364495,"2008"
"3",2009,"VIIg","Monkfish",1231.468102,1231.468102,3.31626737423245,"2009"
"4",2013,"VIIb","Whiting",755.269087,755.269087,1.10101910314096,"2013"
"5",2009,"VIIg","Megrim",1013.555617,1013.555617,2.59263933968021,"2009"
"6",2009,"VIIg","Ling",204.452051,204.452051,1.16851030063659,"2009"
"7",2014,"VIIb","Whiting",846.412487,846.412487,1.14876858320735,"2014"
"8",2012,"VIIb","Haddock",240.238623,240.238623,1.18950810844755,"2012"
"9",2011,"VIIk","Tuna",2823.66449,2823.66449,2.2602632610222,"2011"
"10",2017,"VIIg","Scallop",1081.30962,1081.30962,2.04237910747525,"2017"
"11",2013,"VIa","Monkfish",342.239274,342.239274,3.84811953266566,"2013"
"12",2017,"VIIh","Monkfish",188.415612,188.415612,3.11069101144225,"2017"
"13",2014,"VIIb","Megrim",203.299358,203.299358,2.73701587557213,"2014"
"14",2008,"VIIb","Megrim",165.674174,165.674174,2.68997938158578,"2008"
"15",2009,"VIIg","Cod",612.457415,612.457415,2.33502986160519,"2009"
"16",2008,"VIb","Haddock",721.058747,721.058747,1.68315033310316,"2008"
"17",2013,"VIIb","Megrim",180.053258,180.053258,2.52227847804947,"2013"
"18",2011,"VIIg","Saithe",265.236258,265.236258,0.876368610207131,"2011"
"19",2017,"VIb","Squid",1539.9338,1539.9338,5.12365042397125,"2017"
"20",2010,"VIIb","Haddock",245.103674,245.103674,1.32693524410409,"2010"
"21",2010,"VIa","Haddock",396.105264,396.105264,1.40397942297935,"2010"
"22",2010,"VIa","Megrim",318.393863,318.393863,3.5948492408599,"2010"
"23",2011,"VIIg","Lemon Sole",266.425594,266.425594,2.55171487053408,"2011"
"24",2016,"VIIh","Megrim",201.039773,201.039773,3.27761006796887,"2016"
"25",2016,"VIIh","Monkfish",176.103221,176.103221,3.13416681253086,"2016"
"26",2017,"VIa","Haddock",640.947344,640.947344,1.9505786437895,"2017"
"27",2015,"VIIk","Monkfish",300.211454,300.211454,3.2224557836717,"2015"
"28",2013,"VIIk","Nephrops",537.77794,537.77794,8.74880582810816,"2013"
"29",2012,"VIIb","Skates and rays",130.127803,130.127803,1.50115024517873,"2012"
"30",2013,"VIa","Megrim",202.585282,202.585282,3.28017190113544,"2013"
"31",2013,"VIa","Hake",195.606913,195.606913,2.34634620249848,"2013"
"32",2011,"VIIk","Monkfish",189.886676,189.886676,3.09013137560058,"2011"
"33",2012,"VIa","Hake",232.862759,232.862759,2.36534762157118,"2012"
"34",2013,"VIIb","Skates and rays",107.850519,107.850519,1.45778609543711,"2013"
"35",2012,"VIa","Saithe",340.76499,340.76499,1.36159370534108,"2012"
"36",2009,"VIIg","Saithe",76.300611,76.300611,0.872450748352023,"2009"
"37",2008,"VIb","Saithe",207.821305,207.821305,0.835422034810146,"2008"
"38",2008,"VIb","Megrim",67.625135,67.625135,4.14601186230534,"2008"
"39",2009,"VIa","Megrim",188.393,188.393,3.7747758940088,"2009"
"40",2010,"VIIc","Monkfish",216.181708,216.181708,3.52952930631325,"2010"
"41",2009,"VIIc","Monkfish",168.094771,168.094771,3.47940157501559,"2009"
"42",2009,"VIIb","Hake",174.371347,174.371347,1.81627247809801,"2009"
"43",2009,"VIa","Haddock",296.819623,296.819623,1.4210664849986,"2009"
"44",2009,"VIa","Monkfish",328.655024,328.655024,3.65954051148653,"2009"
"45",2009,"VIIg","John dory",92.938519,92.9385189999999,4.16080264942446,"2009"
"46",2014,"VIIb","Haddock",298.218178,298.218178,1.52091945515139,"2014"
"47",2016,"VIa","Megrim",409.767274,409.767274,3.75285839037828,"2016"
"48",2016,"VIIc","Monkfish",188.504203,188.504203,3.56448189458131,"2016"
"49",2015,"VIb","Megrim",255.64656,255.64656,3.61794506446713,"2015"
"50",2017,"VIIc","Monkfish",152.260026,152.260026,3.31394057523347,"2017"
"51",2017,"VIIa","Cockle",440.5848,440.5848,1.2,"2017"
"52",2012,"VIIb","Turbot",25.754003,25.7540029999999,7.61886406718187,"2012"
"53",2011,"VIIg","Turbot",70.376572,70.3765719999999,9.4934779171696,"2011"
"54",2012,"VIIk","Hake",53.232722,53.232722,1.86510418992369,"2012"
"55",2011,"VIIh","Monkfish",89.835182,89.835182,3.73951394596713,"2011"
"56",2008,"VIIk","Hake",93.478016,93.4780159999999,2.36334002102138,"2008"
"57",2009,"VIIb","Pollack",69.3626620000001,69.362662,1.54853310498872,"2009"
"58",2014,"VIIh","Monkfish",121.878414,121.878414,3.16770352520832,"2014"
"59",2008,"VIIb","Sole Black",31.239308,31.239308,11.1845900419026,"2008"
"60",2008,"VIIg","Gurnard",104.843489,104.843489,0.941944743725392,"2008"
"61",2009,"VIIg","Plaice",61.3078840000001,61.3078840000001,2.03442219769657,"2009"
"62",2008,"VIIa","Sole Black",66.371979,66.3719789999999,12.2550818136926,"2008"
"63",2009,"VIb","Monkfish",90.5176,90.5176,3.16938805271019,"2009"
"64",2010,"VIIk","Monkfish",151.658786,151.658786,3.15697865055264,"2010"
"65",2011,"VIIb","Megrim",155.823843,155.823843,2.81847076585415,"2011"
"66",2013,"VIIc","Monkfish",127.785788,127.785788,3.23228449550557,"2013"
"67",2012,"VIa","Megrim",213.773465,213.773465,3.69501709484851,"2012"
"68",2012,"VIIb","Ling",32.138483,32.138483,1.39415772823335,"2012"
"69",2011,"VIIh","Megrim",124.735973,124.735973,4.05553323731853,"2011"
"70",2013,"VIIb","Pollack",51.059734,51.059734,1.81600343824744,"2013"
"71",2015,"VIIc","Megrim",82.197186,82.197186,3.7297590290642,"2015"
"72",2015,"IIb","Cod",248.78529,248.78529,2.51478803467909,"2015"
"73",2015,"VIb","Haddock",190.07884,190.07884,1.89096922673779,"2015"
"74",2016,"VIa","Skates and rays",121.836253,121.836253,1.66212112046814,"2016"
