"stock","assess_area","tac_area"
"her-67bc","VIa,VIIbc","VIaN,VIb_EuInt,Vb_EuInt"
"cod-iris","VIIaGad1","VIIa"
"had-iris","VIIaGad1","VIIa"
"whg-iris","VIIaGad1","VIIa"
"nep-FU14","FU14","VII"
"nep-FU15","FU15","VII"
"ple-iris","VIIa","VIIa"
"sol-iris","VIIa","VIIa"
"her-iris","VIIaN","VIIaN"
"cod-scow","VIa","VIa,Vb_EuIntE"
"cod-rock","VIb","VIb,Vb_EuIntW,XII_Int,XIV_Int"
"had-346a","VIa,IIIa,IVa","IIIa,IIIb_Eu,IIIc_Eu,IIId_Eu and IVa,IIa_Eu and VIa_EuInt,"
"had-346a","VIa,IIIa,IVa","Vb_EuInt"
"had-rock","VIb","VIb_EuInt,XII_Int,XIV_Int"
"whg-scow","VIa","VI,Vb_EuInt,XII_Int,XIV_Int"
"whg-rock","VIb","VI,Vb_EuInt,XII_Int,XIV_Int"
"meg-ivvi","IVa,VIa","IIa_Eu,IV_Eu and VIb_EuInt,VI,XII_Int,XIV_Int"
"meg-rock","VIb","Vb_EuInt,VI,XII_Int,XIV_Int"
"ang-ivvi","IV,VI,IIIa","IIa_Eu,IV_Eu and VI,XII_Int,XIV_Int"
"ple-scow","VI","VI,Vb_EuInt,XII_Int,XIV_Int"
"sol-scow","VI","VI,Vb_EuInt,XII_Int,XIV_Int"
"sai-3a46","IV,VI,IIIa","IIIa,IV,IIa_Eu,IIIb_Eu,IIIc_Eu,IIId_Eu and VI,Vb_EuInt,"
"sai-3a46","IV,VI,IIIa","XII_Int,XIV_Int"
"lin-nea","IIIa,IVa,VI,VII,VIII,IX,XII,XIV","IIIa,IIIb_Eu,IIIc_Eu,IIId_Eu and IV_Eu and VI_EuInt,"
"lin-nea","IIIa,IVa,VI,VII,VIII,IX,XII,XIV","VII,VIII,IX,X,XII_Int,XIV_Int"
"bss-scow","VIa,VIIb,VIIj","NA"
"bss-47","IVb,IVc,VIIa,VIId,VIIe,VIIf,VIIg,VIIh","NA"
"hke-nrtn","IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","IIIa,IIIb_Eu,IIIc_Eu,IIId_Eu and IIa_Eu,IV_Eu and VI,"
"hke-nrtn","IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","VII,Vb_EuInt,XII_Int,XIV_Int and VIIIabde and VIIIc,IX,"
"hke-nrtn","IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","X,CECAF_1.1_Eu"
"cod-7e-k","VIIek,VIIaGad2","VIIbc,VIIek,VIII,IX,X,CECAF_1.1_Eu"
"cod-7bc","VIIbc","VIIbc,VIIek,VIII,IX,X,CECAF_1.1_Eu"
"had-7b-k","VIIbc,VIIek,VIIaGad2","VIIbk,VIII,IX,X,CECAF_1.1_Eu"
"whg-7b-k","VIIbc,VIIek,VIIaGad2","VIIbk"
"ang-78","VIIbc,VIId,VIIek,VIIIabd","VII,VIIIabde"
"mgw-78","VIIbk,VIIIabde","VII,VIIIabde"
"pol-67","VII,VI","VI,Vb_EuInt,XII_Int,XIV_Int and VII"
"ple-celt","VIIfg","VIIfg"
"ple-7h-k","VIIhk","VIIhk"
"ple-7bc","VIIbc","VIIbc"
